"idubigeo";"id_padre";"ubigeo";"codigoubigeo";"descubigeo";"nivel";"siglaubigeo";"created_at";"updated_at"
609;608;0;"99.0.0";NO APLICABLE;MUNICIPIO;NAP;;
610;91;6;"2.6.6";Huatajata;MUNICIPIO;HUT;;
611;91;7;"2.6.7";Chua Cocani;MUNICIPIO;CHC;;
27;24;31;"1.5.31";Multimunicipal;MUNICIPIO;A05;;
28;1;6;"1.6";YAMPARAEZ;PROVINCIA;YAM;;
29;28;1;"1.6.1";Tarabuco;MUNICIPIO;TAB;;
31;28;31;"1.6.31";Multimunicipal;MUNICIPIO;A06;;
32;1;7;"1.7";NOR CINTI;PROVINCIA;NCI;;
33;32;1;"1.7.1";Camargo;MUNICIPIO;CAM;;
34;32;2;"1.7.2";San Lucas;MUNICIPIO;LUC;;
35;32;3;"1.7.3";Incahuasi;MUNICIPIO;INC;;
36;32;4;"1.7.4";Villa Charcas;MUNICIPIO;VCH;;
37;32;31;"1.7.31";Multimunicipal;MUNICIPIO;A07;;
38;1;8;"1.8";BELISARIO BOETO;PROVINCIA;BOE;;
39;38;1;"1.8.1";Villa Serrano;MUNICIPIO;SER;;
40;38;31;"1.8.31";Multimunicipal;MUNICIPIO;A08;;
41;1;9;"1.9";SUD CINTI;PROVINCIA;SCI;;
42;41;1;"1.9.1";Camataqui (Villa Abecia);MUNICIPIO;ABE;;
43;41;2;"1.9.2";Culpina;MUNICIPIO;CUL;;
44;41;3;"1.9.3";Las Carreras;MUNICIPIO;CRR;;
45;41;31;"1.9.31";Multimunicipal;MUNICIPIO;A09;;
46;1;10;"1.10";LUIS CALVO;PROVINCIA;CLV;;
47;46;1;"1.10.1";Villa Vaca Guzmán;MUNICIPIO;MUY;;
48;46;2;"1.10.2";Villa de Huacaya;MUNICIPIO;VHY;;
49;46;3;"1.10.3";Machareti;MUNICIPIO;MAC;;
50;46;31;"1.10.31";Multimunicipal;MUNICIPIO;A10;;
51;1;31;"1.31";MULTIPROVINCIAL;PROVINCIA;MP1;;
52;51;31;"1.31.31";MULTIMUNICIPAL;MUNICIPIO;AM1;;
54;53;1;"2.1";MURILLO;PROVINCIA;MUR;;
56;54;2;"2.1.2";Palca;MUNICIPIO;PLC;;
57;54;3;"2.1.3";Mecapaca;MUNICIPIO;MEC;;
58;54;4;"2.1.4";Achocalla;MUNICIPIO;ACH;;
60;54;31;"2.1.31";Multimunicipal;MUNICIPIO;B01;;
61;53;2;"2.2";INGAVI;PROVINCIA;ING;;
62;61;1;"2.2.1";Viacha;MUNICIPIO;VIA;;
64;61;3;"2.2.3";Tiahuanacu;MUNICIPIO;TIA;;
65;61;4;"2.2.4";Desaguadero;MUNICIPIO;DES;;
66;61;5;"2.2.5";San Andrés de Machaca;MUNICIPIO;AMA;;
67;61;6;"2.2.6";Jesús de Machaca;MUNICIPIO;JMK;;
68;61;7;"2.2.7";Taraco;MUNICIPIO;TCO;;
69;61;31;"2.2.31";Multimunicipal;MUNICIPIO;B02;;
70;53;3;"2.3";CARANAVI;PROVINCIA;CRN;;
71;70;1;"2.3.1";Caranavi;MUNICIPIO;CRV;;
72;70;2;"2.3.2";Alto Beni;MUNICIPIO;ABN;;
73;70;31;"2.3.31";Multimunicipal;MUNICIPIO;B03;;
74;53;4;"2.4";AROMA;PROVINCIA;ARO;;
75;74;1;"2.4.1";Sica Sica (Villa Aroma);MUNICIPIO;SIC;;
76;74;2;"2.4.2";Umala;MUNICIPIO;UMA;;
77;74;3;"2.4.3";Ayo Ayo;MUNICIPIO;AYO;;
78;74;4;"2.4.4";Calamarca;MUNICIPIO;CAL;;
79;74;5;"2.4.5";Patacamaya;MUNICIPIO;PAT;;
80;74;6;"2.4.6";Colquencha;MUNICIPIO;COL;;
81;74;7;"2.4.7";Collana;MUNICIPIO;COA;;
82;74;31;"2.4.31";Multimunicipal;MUNICIPIO;B04;;
83;53;5;"2.5";INQUISIVI;PROVINCIA;INQ;;
86;83;3;"2.5.3";Cajuata;MUNICIPIO;CAJ;;
87;83;4;"2.5.4";Colquiri;MUNICIPIO;COQ;;
89;83;6;"2.5.6";Licoma Pampa;MUNICIPIO;LIC;;
90;83;31;"2.5.31";Multimunicipal;MUNICIPIO;B05;;
91;53;6;"2.6";OMASUYOS;PROVINCIA;OMA;;
92;91;1;"2.6.1";Achacachi;MUNICIPIO;AHI;;
93;91;2;"2.6.2";Ancoraimes;MUNICIPIO;ANC;;
94;91;4;"2.6.4";Huarina;MUNICIPIO;HUR;;
95;91;5;"2.6.5";Santiago de Huata;MUNICIPIO;SAH;;
96;91;31;"2.6.31";Multimunicipal;MUNICIPIO;B06;;
97;53;7;"2.7";LARECAJA;PROVINCIA;LAR;;
98;97;1;"2.7.1";Sorata;MUNICIPIO;SOR;;
99;97;2;"2.7.2";Guanay;MUNICIPIO;GNY;;
100;97;3;"2.7.3";Tacacoma;MUNICIPIO;TAT;;
101;97;4;"2.7.4";Tipuani;MUNICIPIO;TIP;;
102;97;5;"2.7.5";Quiabaya;MUNICIPIO;QBY;;
103;97;6;"2.7.6";Combaya;MUNICIPIO;COM;;
104;97;7;"2.7.7";Mapiri;MUNICIPIO;MAP;;
105;97;8;"2.7.8";Teoponte;MUNICIPIO;TEO;;
106;97;31;"2.7.31";Multimunicipal;MUNICIPIO;B07;;
107;53;8;"2.8";MANCO KAPAC;PROVINCIA;MKA;;
108;107;1;"2.8.1";Copacabana;MUNICIPIO;COP;;
109;107;2;"2.8.2";San Pedro de Tiquina;MUNICIPIO;SPT;;
110;107;3;"2.8.3";Tito Yupanqui;MUNICIPIO;YUP;;
111;107;31;"2.8.31";Multimunicipal;MUNICIPIO;B08;;
112;53;9;"2.9";MUÑECAS;PROVINCIA;MUN;;
114;112;2;"2.9.2";Ayata;MUNICIPIO;AYA;;
115;112;3;"2.9.3";Aucapata;MUNICIPIO;AUC;;
116;112;31;"2.9.31";Multimunicipal;MUNICIPIO;B09;;
117;53;10;"2.10";PACAJES;PROVINCIA;PAC;;
119;117;2;"2.10.2";Caquiaviri;MUNICIPIO;CAQ;;
120;117;3;"2.10.3";Calacoto;MUNICIPIO;CAC;;
121;117;4;"2.10.4";Comanche;MUNICIPIO;CMC;;
122;117;5;"2.10.5";Charaña;MUNICIPIO;CHA;;
123;117;6;"2.10.6";Waldo Ballivián;MUNICIPIO;BAL;;
124;117;7;"2.10.7";Nazacara de Pacajes;MUNICIPIO;NAZ;;
126;117;31;"2.10.31";Multimunicipal;MUNICIPIO;B10;;
127;53;11;"2.11";GENERAL ELIODORO CAMACHO;PROVINCIA;GEC;;
128;127;1;"2.11.1";Puerto Acosta;MUNICIPIO;ACO;;
129;127;2;"2.11.2";Mocomoco;MUNICIPIO;MOC;;
130;127;3;"2.11.3";Carabuco;MUNICIPIO;CCH;;
131;127;4;"2.11.4";Humanata;MUNICIPIO;HUN;;
132;127;5;"2.11.5";Escoma;MUNICIPIO;ESC;;
133;127;31;"2.11.31";Multimunicipal;MUNICIPIO;B11;;
134;53;12;"2.12";FRANZ TAMAYO;PROVINCIA;TAM;;
135;134;1;"2.12.1";Apolo;MUNICIPIO;APO;;
136;134;2;"2.12.2";Pelechuco;MUNICIPIO;PEL;;
137;134;31;"2.12.31";Multimunicipal;MUNICIPIO;B12;;
138;53;13;"2.13";LOAYZA;PROVINCIA;LOA;;
139;138;1;"2.13.1";Luribay;MUNICIPIO;LUR;;
140;138;2;"2.13.2";Sapahaqui;MUNICIPIO;SAP;;
141;138;3;"2.13.3";Yaco;MUNICIPIO;YCO;;
142;138;4;"2.13.4";Malla;MUNICIPIO;MAL;;
143;138;5;"2.13.5";Cairoma;MUNICIPIO;CAI;;
144;138;31;"2.13.31";Multimunicipal;MUNICIPIO;B13;;
145;53;14;"2.14";SUD YUNGAS;PROVINCIA;SYU;;
146;145;1;"2.14.1";Chulumani (Villa de la Libertad);MUNICIPIO;CHL;;
147;145;2;"2.14.2";Irupana (Villa de Lanza);MUNICIPIO;IRU;;
148;145;3;"2.14.3";Yanacachi;MUNICIPIO;YAN;;
149;145;4;"2.14.4";Palos Blancos;MUNICIPIO;BLA;;
150;145;5;"2.14.5";La Asunta;MUNICIPIO;ASU;;
151;145;31;"2.14.31";Multimunicipal;MUNICIPIO;B14;;
152;53;15;"2.15";LOS ANDES;PROVINCIA;ADN;;
153;152;1;"2.15.1";Pucarani;MUNICIPIO;PUC;;
154;152;2;"2.15.2";Laja;MUNICIPIO;LAJ;;
155;152;3;"2.15.3";Batallas;MUNICIPIO;BAT;;
156;152;4;"2.15.4";Puerto Pérez;MUNICIPIO;PER;;
157;152;31;"2.15.31";Multimunicipal;MUNICIPIO;B15;;
158;53;16;"2.16";NOR YUNGAS;PROVINCIA;NYU;;
159;158;1;"2.16.1";Coroico;MUNICIPIO;COC;;
160;158;2;"2.16.2";Coripata;MUNICIPIO;CRI;;
161;158;31;"2.16.31";Multimunicipal;MUNICIPIO;B16;;
162;53;17;"2.17";ABEL ITURRALDE;PROVINCIA;ITU;;
163;162;1;"2.17.1";Ixiamas;MUNICIPIO;IXI;;
164;162;2;"2.17.2";San Buenaventura;MUNICIPIO;SBV;;
165;162;31;"2.17.31";Multimunicipal;MUNICIPIO;B17;;
166;53;18;"2.18";BAUTISTA SAAVEDRA;PROVINCIA;SAA;;
167;166;1;"2.18.1";General Juan José Pérez (Charazani);MUNICIPIO;CPE;;
168;166;2;"2.18.2";Curva;MUNICIPIO;CUR;;
169;166;31;"2.18.31";Multimunicipal;MUNICIPIO;B18;;
170;53;19;"2.19";GUALBERTO VILLARROEL;PROVINCIA;GVIL;;
171;170;1;"2.19.1";San Pedro de Curahuara;MUNICIPIO;PEC;;
172;170;2;"2.19.2";Papel Pampa;MUNICIPIO;PAP;;
173;170;3;"2.19.3";Chacarilla;MUNICIPIO;CLL;;
174;170;31;"2.19.31";Multimunicipal;MUNICIPIO;B19;;
175;53;20;"2.20";GENERAL JOSE MANUEL PANDO;PROVINCIA;PND;;
176;175;1;"2.20.1";Santiago de Machaca;MUNICIPIO;SMA;;
437;435;2;"7.1.2";Cotoca;MUNICIPIO;CTC;;
438;435;3;"7.1.3";Porongo  (Ayacucho);MUNICIPIO;PRG;;
439;435;4;"7.1.4";La Guardia;MUNICIPIO;LGU;;
440;435;5;"7.1.5";El Torno;MUNICIPIO;TOR;;
441;435;31;"7.1.31";Multimunicipal;MUNICIPIO;G01;;
442;434;2;"7.2";IGNACIO WARNES;PROVINCIA;WAR;;
444;442;2;"7.2.2";Okinawa I;MUNICIPIO;OKI;;
445;442;31;"7.2.31";Multimunicipal;MUNICIPIO;G02;;
446;434;3;"7.3";JOSE MIGUEL DE VELASCO;PROVINCIA;VEL;;
448;446;2;"7.3.2";San Miguel (San Miguel de Velasco);MUNICIPIO;MIG;;
449;446;3;"7.3.3";San Rafael;MUNICIPIO;RAF;;
450;446;31;"7.3.31";Multimunicipal;MUNICIPIO;G03;;
451;434;4;"7.4";ICHILO;PROVINCIA;ICHI;;
452;451;1;"7.4.1";Buena Vista;MUNICIPIO;BUE;;
453;451;2;"7.4.2";San Carlos;MUNICIPIO;CRL;;
454;451;3;"7.4.3";Yapacaní;MUNICIPIO;YAP;;
455;451;4;"7.4.4";San Juan;MUNICIPIO;SJU;;
456;451;31;"7.4.31";Multimunicipal;MUNICIPIO;G04;;
457;434;5;"7.5";CHIQUITOS;PROVINCIA;CIQ;;
458;457;1;"7.5.1";San José;MUNICIPIO;JOS;;
459;457;2;"7.5.2";Pailón;MUNICIPIO;PAI;;
460;457;3;"7.5.3";Robore;MUNICIPIO;ROB;;
461;457;31;"7.5.31";Multimunicipal;MUNICIPIO;G05;;
462;434;6;"7.6";SARA;PROVINCIA;SAR;;
463;462;1;"7.6.1";Portachuelo;MUNICIPIO;PCH;;
464;462;2;"7.6.2";Santa Rosa del Sara;MUNICIPIO;SRS;;
465;462;3;"7.6.3";Colpa Bélgica;MUNICIPIO;CBE;;
466;462;31;"7.6.31";Multimunicipal;MUNICIPIO;G06;;
467;434;7;"7.7";CORDILLERA;PROVINCIA;COR;;
468;467;1;"7.7.1";Lagunillas;MUNICIPIO;LAG;;
470;467;3;"7.7.3";Cabezas;MUNICIPIO;CAB;;
471;467;4;"7.7.4";Cuevo;MUNICIPIO;CUE;;
473;467;6;"7.7.6";Camiri;MUNICIPIO;CMR;;
474;467;7;"7.7.7";Boyuibe;MUNICIPIO;BOY;;
475;467;31;"7.7.31";Multimunicipal;MUNICIPIO;G07;;
476;434;8;"7.8";VALLEGRANDE;PROVINCIA;VAL;;
477;476;1;"7.8.1";Vallegrande;MUNICIPIO;GRA;;
478;476;2;"7.8.2";Trigal;MUNICIPIO;TRG;;
479;476;3;"7.8.3";Moro Moro;MUNICIPIO;MOR;;
480;476;4;"7.8.4";Postrer Valle;MUNICIPIO;POS;;
481;476;5;"7.8.5";Pucara;MUNICIPIO;PCR;;
482;476;31;"7.8.31";Multimunicipal;MUNICIPIO;G08;;
483;434;9;"7.9";FLORIDA;PROVINCIA;FLO;;
484;483;1;"7.9.1";Samaipata;MUNICIPIO;SAM;;
485;483;2;"7.9.2";Pampa Grande;MUNICIPIO;PAG;;
486;483;3;"7.9.3";Mairana;MUNICIPIO;MAY;;
487;483;4;"7.9.4";Quirusillas;MUNICIPIO;QRS;;
488;483;31;"7.9.31";Multimunicipal;MUNICIPIO;G09;;
489;434;10;"7.10";OBISPO SANTIESTEBAN;PROVINCIA;SNT;;
490;489;1;"7.10.1";Montero;MUNICIPIO;MTR;;
492;489;3;"7.10.3";Mineros;MUNICIPIO;MIN;;
493;489;4;"7.10.4";Fernández Alonso;MUNICIPIO;FAL;;
494;489;5;"7.10.5";San Pedro;MUNICIPIO;PDR;;
495;489;31;"7.10.31";Multimunicipal;MUNICIPIO;G10;;
496;434;11;"7.11";ÑUFLO DE CHAVEZ;PROVINCIA;CHV;;
498;496;2;"7.11.2";San Javier;MUNICIPIO;SJA;;
499;496;3;"7.11.3";San Ramón;MUNICIPIO;SRA;;
500;496;4;"7.11.4";San Julian;MUNICIPIO;JUL;;
501;496;5;"7.11.5";San Antonio de Lomerio;MUNICIPIO;ANL;;
502;496;6;"7.11.6";Cuatro Cañadas;MUNICIPIO;CCA;;
503;496;31;"7.11.31";Multimunicipal;MUNICIPIO;G11;;
504;434;12;"7.12";ANGEL SANDOVAL;PROVINCIA;SND;;
505;504;1;"7.12.1";San Matías;MUNICIPIO;MAT;;
506;504;31;"7.12.31";Multimunicipal;MUNICIPIO;G12;;
507;434;13;"7.13";MANUEL MARIA CABALLERO;PROVINCIA;CBL;;
508;507;1;"7.13.1";Comarapa;MUNICIPIO;CMP;;
509;507;2;"7.13.2";Saipina;MUNICIPIO;SAI;;
510;507;31;"7.13.31";Multimunicipal;MUNICIPIO;G13;;
511;434;14;"7.14";GERMAN BUSCH;PROVINCIA;GBU;;
513;511;2;"7.14.2";Puerto Quijarro;MUNICIPIO;PQO;;
514;511;3;"7.14.3";El Carmen Rivero Tórrez;MUNICIPIO;CRT;;
515;511;31;"7.14.31";Multimunicipal;MUNICIPIO;G14;;
516;434;15;"7.15";GUARAYOS;PROVINCIA;GUA;;
517;516;1;"7.15.1";Ascención de Guarayos;MUNICIPIO;ADG;;
518;516;2;"7.15.2";Urubicha;MUNICIPIO;URU;;
519;516;3;"7.15.3";El Puente;MUNICIPIO;PUE;;
520;516;31;"7.15.31";Multimunicipal;MUNICIPIO;G15;;
521;434;31;"7.31";MULTIPROVINCIAL;PROVINCIA;MP7;;
522;521;31;"7.31.31";MULTIMUNICIPAL;MUNICIPIO;GM1;;
523;;8;"8";BENI;DEPTO;BEN;;
524;523;1;"8.1";CERCADO;PROVINCIA;CER;;
525;524;1;"8.1.1";Trinidad;MUNICIPIO;TRI;;
526;524;2;"8.1.2";San Javier;MUNICIPIO;JAV;;
527;524;31;"8.1.31";Multimunicipal;MUNICIPIO;H01;;
528;523;2;"8.2";VACA DIEZ;PROVINCIA;VDI;;
529;528;1;"8.2.1";Riberalta;MUNICIPIO;RIB;;
530;528;2;"8.2.2";Puerto Guayaramerín;MUNICIPIO;PGU;;
531;528;31;"8.2.31";Multimunicipal;MUNICIPIO;H02;;
532;523;3;"8.3";JOSE BALLIVIAN;PROVINCIA;JBA;;
533;532;1;"8.3.1";Reyes;MUNICIPIO;REY;;
534;532;2;"8.3.2";San Borja;MUNICIPIO;BOR;;
535;532;3;"8.3.3";Santa Rosa;MUNICIPIO;ROS;;
536;532;4;"8.3.4";Puerto Rurrenabaque;MUNICIPIO;RUR;;
537;532;31;"8.3.31";Multimunicipal;MUNICIPIO;H03;;
538;523;4;"8.4";YACUMA;PROVINCIA;YAC;;
539;538;1;"8.4.1";Santa Ana;MUNICIPIO;ANA;;
540;538;2;"8.4.2";Exaltación;MUNICIPIO;EXA;;
541;538;31;"8.4.31";Multimunicipal;MUNICIPIO;H04;;
542;523;5;"8.5";MOXOS;PROVINCIA;MOX;;
543;542;1;"8.5.1";San Ignacio;MUNICIPIO;IGN;;
544;542;31;"8.5.31";Multimunicipal;MUNICIPIO;H05;;
545;523;6;"8.6";MARBAN;PROVINCIA;MRB;;
546;545;1;"8.6.1";Loreto;MUNICIPIO;LOR;;
547;545;2;"8.6.2";San Andrés;MUNICIPIO;SAD;;
548;545;31;"8.6.31";Multimunicipal;MUNICIPIO;H06;;
549;523;7;"8.7";MAMORE;PROVINCIA;MMR;;
550;549;1;"8.7.1";San Joaquín;MUNICIPIO;JOA;;
551;549;2;"8.7.2";San Ramón;MUNICIPIO;RAM;;
553;549;31;"8.7.31";Multimunicipal;MUNICIPIO;H07;;
554;523;8;"8.8";ITENEZ;PROVINCIA;ITE;;
555;554;1;"8.8.1";Magdalena;MUNICIPIO;MAG;;
556;554;2;"8.8.2";Baures;MUNICIPIO;BAU;;
557;554;3;"8.8.3";Huacaraje;MUNICIPIO;HUA;;
558;554;31;"8.8.31";Multimunicipal;MUNICIPIO;H08;;
559;523;31;"8.31";MULTIPROVINCIAL;PROVINCIA;MP8;;
560;559;31;"8.31.31";MULTIMUNICIPAL;MUNICIPIO;HM1;;
561;;9;"9";PANDO;DEPTO;PAN;;
562;561;1;"9.1";NICOLAS SUAREZ;PROVINCIA;SUA;;
564;562;2;"9.1.2";Porvenir;MUNICIPIO;PRV;;
565;562;3;"9.1.3";Bolpebra;MUNICIPIO;BOP;;
567;562;31;"9.1.31";Multimunicipal;MUNICIPIO;I01;;
568;561;2;"9.2";MANURIPI;PROVINCIA;MNU;;
569;568;1;"9.2.1";Puerto Rico;MUNICIPIO;PRI;;
570;568;2;"9.2.2";San Pedro;MUNICIPIO;SPE;;
571;568;3;"9.2.3";Filadelfia;MUNICIPIO;FIL;;
572;568;31;"9.2.31";Multimunicipal;MUNICIPIO;I02;;
573;561;3;"9.3";MADRE DE DIOS;PROVINCIA;MDD;;
1;;1;"1";CHUQUISACA;DEPTO;CHUQ;;
9;7;2;"1.2.2";TARVITA (VILLA ORIAS);MUNICIPIO;TAR;;
30;28;2;"1.6.2";YAMPAPARÁEZ;MUNICIPIO;YAM;;
53;;2;"2";LA PAZ;DEPTO;LAP;;
55;54;1;"2.1.1";LA PAZ;MUNICIPIO;LPZ;;
59;54;5;"2.1.5";El Alto de La Paz;MUNICIPIO;ELLA;;
63;61;2;"2.2.2";GUAQUI;MUNICIPIO;GUA;;
84;83;1;"2.5.1";INQUISIVI;MUNICIPIO;INQ;;
85;83;2;"2.5.2";QUIME;MUNICIPIO;QUI;;
88;83;5;"2.5.5";ICHOCA;MUNICIPIO;ICH;;
113;112;1;"2.9.1";CHUMA;MUNICIPIO;CHU;;
118;117;1;"2.10.1";COROCORO;MUNICIPIO;COR;;
125;117;8;"2.10.8";SANTIAGO DE CALLAPA;MUNICIPIO;SCA;;
183;182;1;"3.1.1";COCHABAMBA;MUNICIPIO;CBB;;
210;207;3;"3.6.3";SAN BENITO (VILLA JOSÉ QUINTIN MENDOZA);MUNICIPIO;MEM;;
265;264;1;"4.1.1";ORURO;MUNICIPIO;ORU;;
279;278;1;"4.4.1";POOPÓ (VILLA POOPÓ);MUNICIPIO;POO;;
301;300;1;"4.10.1";HUACHACALLA;MUNICIPIO;HCH;;
383;382;1;"5.11.1";PUNA (VILLA TALAVERA);MUNICIPIO;PUN;;
436;435;1;"7.1.1";SANTA CRUZ DE LA SIERRA;MUNICIPIO;SCZ;;
443;442;1;"7.2.1";WARNES;MUNICIPIO;WAR;;
447;446;1;"7.3.1";SAN IGNACIO (SAN IGNACIO DE VELASCO);MUNICIPIO;ING;;
491;489;2;"7.10.2";GENERAL AGUSTÍN SAAVEDRA;MUNICIPIO;SAA;;
497;496;1;"7.11.1";CONCEPCIÓN;MUNICIPIO;CON;;
512;511;1;"7.14.1";PUERTO SUAREZ;MUNICIPIO;SUA;;
552;549;3;"8.7.3";PUERTO SILES;MUNICIPIO;SIL;;
563;562;1;"9.1.1";COBIJA;MUNICIPIO;CBJ;;
566;562;4;"9.1.4";BELLA FLOR;MUNICIPIO;FLO;;
584;582;2;"9.5.2";VILLA NUEVA (LOMA ALTA);MUNICIPIO;LOM;;
294;292;2;"4.8.2";Choquecota;MUNICIPIO;CHE;;
612;416;41;"6.3.41";Región Autónoma del Gran Chaco;MUNICIPIO;RAGC;;
198;197;1;"3.4.1";Independencia;MUNICIPIO;IND;;
212;207;5;"3.6.5";Villa Gualberto Villarroel;MUNICIPIO;VGV;;
315;314;1;"4.13.1";TIOC Salinas;MUNICIPIO;TSA;;
326;323;3;"4.15.3";TIOC Nación Originaria Uru Chipaya;MUNICIPIO;URU;;
469;467;2;"7.7.2";TIOC Charagua Iyambae;MUNICIPIO;CHIY;;
472;467;5;"7.7.5";TIOG Kereimba Iyaambae;MUNICIPIO;GKI;;
615;256;4;"3.16.4";TIOC Raqaypampa;MUNICIPIO;TRP;;
614;351;5;"5.4.5";San Pedro de Macha;MUNICIPIO;SPM;;
